logFC	logCPM	PValue	FDR	TE	Control_CPM_median	Exposure_CPM_median	group	Type	Sex	Subfamily	Family	Class
-0.685701899	10.73692958	0.001478223	0.006254962	MTA_Mm:ERVL-MaLR:LTR	1899.7808	1180.264859	AL_RNA_TCDD_M	TCDD	M	MTA_Mm	ERVL-MaLR	LTR
-0.674761903	10.50190839	0.001508226	0.006355651	Lx:L1:LINE	1537.095325	1020.388715	AL_RNA_TCDD_M	TCDD	M	Lx	L1	LINE
-0.816969236	4.592975489	0.001531371	0.006426736	Kanga2_a:TcMar-Tc2:DNA	25.55757793	15.46177379	AL_RNA_TCDD_M	TCDD	M	Kanga2_a	TcMar-Tc2	DNA
-0.762757128	6.803682233	0.001538529	0.006430424	MER21B:ERVL:LTR	123.0737031	75.83394151	AL_RNA_TCDD_M	TCDD	M	MER21B	ERVL	LTR
-0.659619888	11.68289978	0.00156785	0.006482593	B1_Mur4:Alu:SINE	3449.292523	2356.131433	AL_RNA_TCDD_M	TCDD	M	B1_Mur4	Alu	SINE
-0.656635244	6.15441606	0.001576019	0.006482593	MLT1A:ERVL-MaLR:LTR	75.82435122	51.55438856	AL_RNA_TCDD_M	TCDD	M	MLT1A	ERVL-MaLR	LTR
-0.714762272	11.80379653	0.001588995	0.006482593	MTD:ERVL-MaLR:LTR	3949.983615	2386.270996	AL_RNA_TCDD_M	TCDD	M	MTD	ERVL-MaLR	LTR
-0.813086822	8.986621555	0.001586377	0.006482593	MusHAL1:L1:LINE	514.4544803	321.7279809	AL_RNA_TCDD_M	TCDD	M	MusHAL1	L1	LINE
-0.667978812	6.820578585	0.001584492	0.006482593	RLTR15:ERVK:LTR	121.9933293	78.33962753	AL_RNA_TCDD_M	TCDD	M	RLTR15	ERVK	LTR
-1.158108476	1.02685687	0.001570699	0.006482593	UCON23:hAT?:DNA	1.795717723	0.828699975	AL_RNA_TCDD_M	TCDD	M	UCON23	hAT?	DNA
-1.203555418	2.314380743	0.001604966	0.006521768	MLTR31E_MM:ERVK:LTR	4.783942254	2.011877019	AL_RNA_TCDD_M	TCDD	M	MLTR31E_MM	ERVK	LTR
-1.081154349	3.722303209	0.001612144	0.00652504	MamRep434:TcMar-Tigger:DNA	13.20442802	5.994392945	AL_RNA_TCDD_M	TCDD	M	MamRep434	TcMar-Tigger	DNA
-0.660842735	12.29525523	0.001622856	0.006542537	B1_Mus2:Alu:SINE	5455.402245	3606.346909	AL_RNA_TCDD_M	TCDD	M	B1_Mus2	Alu	SINE
