logFC	logCPM	PValue	FDR	TE	Control_CPM_median	Exposure_CPM_median	group	Type	Sex	Subfamily	Class
-0.050414636	4.921253841	0.241919575	0.378325491	Charlie6	30.51596567	29.59080885	ZB_ATAC_As_F	As	F	Charlie6	DNA
-0.100397288	2.977592505	0.241952349	0.378325491	Eulor2B	7.703456285	6.994284322	ZB_ATAC_As_F	As	F	Eulor2B	DNA
0.015270483	11.60345941	0.243236091	0.379801606	B1F2	3109.554335	3141.770133	ZB_ATAC_As_F	As	F	B1F2	SINE
-0.011910155	11.24964746	0.246069195	0.383689484	ORR1C2	2442.095048	2431.929851	ZB_ATAC_As_F	As	F	ORR1C2	LTR
-0.10980053	2.59953977	0.248264659	0.386573662	MER72B	5.906133661	5.498285187	ZB_ATAC_As_F	As	F	MER72B	LTR
-0.013291795	15.33061446	0.249437312	0.387859408	L1Md_F2	41181.40703	40645.2704	ZB_ATAC_As_F	As	F	L1Md_F2	LINE
-0.100992906	3.474155103	0.250606155	0.389135668	MER66C	11.00502135	9.791076258	ZB_ATAC_As_F	As	F	MER66C	LTR
-0.020591172	10.06701834	0.25174112	0.390198817	L1VL1	1069.488908	1052.110378	ZB_ATAC_As_F	As	F	L1VL1	LINE
-0.012293722	10.30133486	0.25198886	0.390198817	MER5A	1265.54604	1258.855904	ZB_ATAC_As_F	As	F	MER5A	DNA
-0.041483033	5.83480354	0.252943753	0.391135706	RLTR19A	56.7259407	54.86366791	ZB_ATAC_As_F	As	F	RLTR19A	LTR
0.013453176	9.319895125	0.253903232	0.391536294	ID2	638.7863128	642.6758802	ZB_ATAC_As_F	As	F	ID2	SINE
0.074415433	3.875187704	0.253895625	0.391536294	L1P5	14.40656978	15.29524234	ZB_ATAC_As_F	As	F	L1P5	LINE
0.034111095	6.376242584	0.255011931	0.392704324	RLTR42	82.4046104	84.62446403	ZB_ATAC_As_F	As	F	RLTR42	LTR
0.018137012	13.08269214	0.258030463	0.396242223	IAPEz-int	8661.283386	8807.189496	ZB_ATAC_As_F	As	F	IAPEz-int	LTR
-0.025815937	7.349041919	0.257697315	0.396242223	RLTR34C_MM	163.684879	161.5935867	ZB_ATAC_As_F	As	F	RLTR34C_MM	LTR
0.019907773	7.876578434	0.26037126	0.398760368	RLTR20B2	234.0698558	234.0238978	ZB_ATAC_As_F	As	F	RLTR20B2	LTR
-0.159316639	1.658368341	0.267843329	0.409557757	MER97d	2.999325921	2.498295347	ZB_ATAC_As_F	As	F	MER97d	DNA
0.015789579	9.62599944	0.268154095	0.409557757	RLTR19-int	787.7644865	794.1521578	ZB_ATAC_As_F	As	F	RLTR19-int	LTR
-0.022564189	8.454812682	0.270083257	0.411941449	RLTR41	350.4931143	340.7934684	ZB_ATAC_As_F	As	F	RLTR41	LTR
0.013102259	11.85049241	0.271584186	0.411982523	B1F1	3693.355156	3716.51183	ZB_ATAC_As_F	As	F	B1F1	SINE
